PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 10436705, 0.21125216782093048, 0.5897698998451233, -0.008301541209220886, 0.7794071435928345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.6611328125, -0.58251953125, -0.351806640625, 0, 
1, 10445038, 0.21079383790493011, 0.5901274681091309, -0.008146991021931171, 0.779262125492096, 0.9999998211860657, 0.00046512018889188766, -0.0003352295607328415, 0.00023238640278577805, 0.07648766040802002, 0.018913328647613525, 0.024644851684570312, 9.180421829223633, 2.2689225673675537, 2.9533164501190186, 6.396117687225342, -4.609921932220459, 3.1956703662872314, -0.66064453125, -0.58203125, -0.352294921875, 0, 
2, 10453371, 0.21039731800556183, 0.590471088886261, -0.008020234294235706, 0.7791102528572083, 0.9999998211860657, 0.0004039360210299492, -0.0003339238464832306, 0.00019942689687013626, 0.07694053649902344, 0.018930494785308838, 0.02465122938156128, 9.234735488891602, 2.2710752487182617, 2.954094409942627, 5.554742336273193, -4.591967582702637, 2.742427110671997, -0.6611328125, -0.58251953125, -0.351318359375, 0, 
3, 10461704, 0.21010129153728485, 0.591180145740509, -0.008668179623782635, 0.778645396232605, 0.9999998807907104, 0.00033570174127817154, -0.00033046863973140717, 0.00016410741955041885, 0.07704108953475952, 0.01885932683944702, 0.024752557277679443, 9.246596336364746, 2.2627108097076416, 2.9667699337005615, 4.616414546966553, -4.544451713562012, 2.2567293643951416, -0.66162109375, -0.583984375, -0.352294921875, 0, 
4, 10470037, 0.20984601974487305, 0.591475784778595, -0.0086021414026618, 0.7784903645515442, 0.9999998807907104, 0.00026306789368391037, -0.0003102123737335205, 0.0001245914027094841, 0.07697302103042603, 0.018928706645965576, 0.024917662143707275, 9.238327026367188, 2.271174907684326, 2.986816883087158, 3.6175880432128906, -4.265897750854492, 1.7133234739303589, -0.662109375, -0.57958984375, -0.345458984375, 0, 
5, 10478370, 0.2095274031162262, 0.5921940803527832, -0.009669340215623379, 0.7780174016952515, 0.9999999403953552, 0.0001967279240489006, -0.00029153376817703247, 0.00008008163422346115, 0.07706809043884277, 0.018555760383605957, 0.02481633424758911, 9.24949836730957, 2.2266383171081543, 2.9752073287963867, 2.7053112983703613, -4.009037494659424, 1.1012457609176636, -0.66455078125, -0.583740234375, -0.349365234375, 0, 
6, 10486703, 0.20940816402435303, 0.592431902885437, -0.009672810323536396, 0.7778684496879578, 0.9999999403953552, 0.0001163659617304802, -0.0002751275897026062, 0.00006125401705503464, 0.07705491781234741, 0.01834052801132202, 0.024887800216674805, 9.247879028320312, 2.2007410526275635, 2.9839627742767334, 1.6002110242843628, -3.7834274768829346, 0.8423370122909546, -0.66259765625, -0.5810546875, -0.347900390625, 0, 
7, 10495036, 0.20898783206939697, 0.5928366184234619, -0.010636776685714722, 0.7776603698730469, 0.9999999403953552, 0.00007355865091085434, -0.000261867418885231, 0.00004784855991601944, 0.0769607424736023, 0.018089890480041504, 0.02440100908279419, 9.236679077148438, 2.170607805252075, 2.925215721130371, 1.0115444660186768, -3.6010794639587402, 0.6579912304878235, -0.66259765625, -0.5810546875, -0.346435546875, 0, 
8, 10503369, 0.2089439332485199, 0.593024492263794, -0.010691340081393719, 0.7775281667709351, 1, 0.00002147909253835678, -0.00023641809821128845, 0.00003681797534227371, 0.07694458961486816, 0.017827868461608887, 0.02449744939804077, 9.234519004821777, 2.139143705368042, 2.937509059906006, 0.29537057876586914, -3.251112461090088, 0.5063037276268005, -0.6650390625, -0.585693359375, -0.347900390625, 0, 
9, 10511702, 0.2085046023130417, 0.5932856798171997, -0.011678431183099747, 0.7774326801300049, 1, -0.00002029724419116974, -0.00022902898490428925, 0.000015103258192539215, 0.07694178819656372, 0.017351984977722168, 0.024677515029907227, 9.234179496765137, 2.082097291946411, 2.9590935707092285, -0.2791183292865753, -3.149501085281372, 0.20769304037094116, -0.6650390625, -0.580078125, -0.346435546875, 0, 
