PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
1018, 156120048, -0.1512315273284912, 0.6877456903457642, 0.06624429672956467, 0.7069275379180908, 10.142763137817383, -0.7821236848831177, 0.5017363429069519, -11.613330841064453, 6.726965427398682, 1.8845676183700562, 
1019, 156128381, -0.150676429271698, 0.6874750256538391, 0.06544823944568634, 0.7073835730552673, 10.154021263122559, -0.7472090125083923, 0.4143247902393341, -12.91461181640625, 7.134847164154053, 1.5749685764312744, 
1020, 156136714, -0.15009640157222748, 0.6872226595878601, 0.06457221508026123, 0.7078324556350708, 10.07679271697998, -0.7961521148681641, 0.36525285243988037, -14.013463020324707, 7.057159423828125, 1.8210701942443848, 
1021, 156145047, -0.14948663115501404, 0.6869677901268005, 0.06362135708332062, 0.7082947492599487, 10.086822509765625, -0.8411206603050232, 0.3698664903640747, -14.975685119628906, 7.312148094177246, 2.517469882965088, 
1022, 156153380, -0.14892569184303284, 0.6866729855537415, 0.0625709667801857, 0.7087922692298889, 10.012242317199707, -0.9675371050834656, 0.40993261337280273, -15.487536430358887, 8.30498218536377, 3.5178089141845703, 
1023, 156161713, -0.14837495982646942, 0.6863821148872375, 0.0614641048014164, 0.7092860341072083, 9.97833251953125, -1.0969207286834717, 0.292952299118042, -15.890113830566406, 8.332517623901367, 4.47539758682251, 
1024, 156170046, -0.14786715805530548, 0.6860923767089844, 0.06031525880098343, 0.7097709774971008, 10.01980209350586, -1.268736481666565, 0.3067692816257477, -15.94367504119873, 8.384054183959961, 4.995469570159912, 
1025, 156178379, -0.1473638266324997, 0.6858110427856445, 0.05920054391026497, 0.7102412581443787, 9.960029602050781, -1.530233383178711, 0.375888466835022, -15.51960563659668, 8.074505805969238, 5.069673538208008, 
1026, 156186712, -0.14691594243049622, 0.6855597496032715, 0.05816419795155525, 0.7106622457504272, 9.993624687194824, -1.693364143371582, 0.26506805419921875, -14.30584716796875, 7.227135181427002, 4.681335926055908, 
1027, 156195045, -0.14651039242744446, 0.6853302717208862, 0.057321228086948395, 0.7110354900360107, 9.97098445892334, -1.870676875114441, 0.17887097597122192, -11.969343185424805, 6.186325550079346, 3.6920883655548096, 
1028, 156203378, -0.14619649946689606, 0.6850697994232178, 0.05670212209224701, 0.7114006280899048, 10.094051361083984, -2.055150270462036, 0.10742504149675369, -8.900627136230469, 6.054770469665527, 2.164095401763916, 
