PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 2836295687, 0.24628250300884247, 0.6879721879959106, -0.34093591570854187, 0.5914396047592163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.96728515625, -0.397705078125, -0.3212890625, 0, 
1, 2836304020, 0.24534624814987183, 0.6874715089797974, -0.3404490053653717, 0.5926901698112488, 0.9999985098838806, 0.0012352047488093376, 0.0009573092684149742, 0.0006974348798394203, 0.08097165822982788, -0.003203451633453369, -0.015517115592956543, 9.71849250793457, -0.39347872138023376, -1.8523743152618408, 16.985971450805664, 13.16447925567627, 9.590806007385254, -0.96826171875, -0.395263671875, -0.32421875, 0, 
2, 2836312353, 0.24446071684360504, 0.6869403123855591, -0.3398333191871643, 0.5940237045288086, 0.9999983906745911, 0.0012974487617611885, 0.0010811956599354744, 0.0006096391007304192, 0.08067947626113892, -0.0014358758926391602, -0.01613473892211914, 9.683904647827148, -0.18070882558822632, -1.9255684614181519, 17.84192657470703, 14.868109703063965, 8.383479118347168, -0.96728515625, -0.394287109375, -0.322265625, 0, 
3, 2836320686, 0.2451253980398178, 0.6873838305473328, -0.338918000459671, 0.5937606692314148, 0.9999982714653015, 0.0013238107785582542, 0.0011764289811253548, 0.0005354573950171471, 0.08016961812973022, -0.0003153681755065918, -0.015516817569732666, 9.622905731201172, -0.04546673223376274, -1.8507065773010254, 18.204444885253906, 16.177719116210938, 7.363367557525635, -0.96728515625, -0.394775390625, -0.3212890625, 0, 
4, 2836329019, 0.24428416788578033, 0.6868601441383362, -0.3381331264972687, 0.5951594114303589, 0.9999982118606567, 0.0013899607583880424, 0.0011797016486525536, 0.0004802616313099861, 0.0793144702911377, -0.00012087821960449219, -0.01590585708618164, 9.520353317260742, -0.021709557622671127, -1.8975512981414795, 19.114110946655273, 16.22272300720215, 6.604340076446533, -0.96875, -0.393310546875, -0.32470703125, 0, 
5, 2836337352, 0.24708329141139984, 0.6887879967689514, -0.33500465750694275, 0.5935426950454712, 0.9999982118606567, 0.0014011124148964882, 0.0011732140555977821, 0.00043379422277212143, 0.07899212837219238, 0.00003254413604736328, -0.01601731777191162, 9.481678009033203, -0.0028734044171869755, -1.911069393157959, 19.267457962036133, 16.13350486755371, 5.965340614318848, -0.96826171875, -0.396240234375, -0.3232421875, 0, 
6, 2836345685, 0.24618390202522278, 0.6883797645568848, -0.33411794900894165, 0.5948881506919861, 0.9999982118606567, 0.00149565190076828, 0.0010868385434150696, 0.0003922171890735626, 0.07857531309127808, -0.001208961009979248, -0.016855299472808838, 9.431551933288574, -0.15180782973766327, -2.012234687805176, 20.567527770996094, 14.945711135864258, 5.3935933113098145, -0.9677734375, -0.395751953125, -0.32373046875, 0, 
7, 2836354018, 0.24957872927188873, 0.6905457973480225, -0.33121103048324585, 0.5925846099853516, 0.999998152256012, 0.0015372540801763535, 0.001093495637178421, 0.00038860365748405457, 0.07928764820098877, -0.0026640892028808594, -0.01700538396835327, 9.516990661621094, -0.3265063762664795, -2.029869556427002, 21.13962173461914, 15.037259101867676, 5.343902111053467, -0.968017578125, -0.394287109375, -0.326171875, 0, 
8, 2836362351, 0.24859321117401123, 0.690204918384552, -0.3301977813243866, 0.5939598679542542, 0.9999979734420776, 0.001651429571211338, 0.001078135333955288, 0.00034048501402139664, 0.0793347954750061, -0.00449138879776001, -0.016978681087493896, 9.522558212280273, -0.5455690026283264, -2.026397705078125, 22.709707260131836, 14.826025009155273, 4.68219518661499, -0.96630859375, -0.398193359375, -0.32421875, 0, 
9, 2836370684, 0.2503567337989807, 0.6919551491737366, -0.32885873317718506, 0.5919221043586731, 0.9999977946281433, 0.0018559973686933517, 0.0009599626064300537, 0.00025611184537410736, 0.07994198799133301, -0.005750060081481934, -0.01718991994857788, 9.595224380493164, -0.6963264346122742, -2.0523576736450195, 25.522838592529297, 13.200971603393555, 3.5219342708587646, -0.96923828125, -0.396728515625, -0.32666015625, 0, 
