PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 203663281, 0.14767105877399445, 0.6384837627410889, -0.20314829051494598, 0.7275035381317139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.072021484375, -0.183349609375, -0.26123046875, 0, 
1, 203671614, 0.14825809001922607, 0.6382734179496765, -0.2038058340549469, 0.7273849248886108, 0.9999995827674866, -0.0009083729237318039, 0.00009946618229150772, 0.00001791771501302719, 0.08036279678344727, -0.009056329727172852, 0.008292675018310547, 9.643802642822266, -1.0878785848617554, 0.9951324462890625, -12.49152660369873, 1.3678131103515625, 0.24639616906642914, -1.070556640625, -0.182861328125, -0.261962890625, 0, 
2, 203679947, 0.1488901823759079, 0.638038158416748, -0.20453280210494995, 0.7272582054138184, 0.9999995231628418, -0.000992901623249054, 0.00011122692376375198, 0.00003342609852552414, 0.0803912878036499, -0.009257376194000244, 0.008291065692901611, 9.64719009399414, -1.1122581958770752, 0.9949367642402649, -13.653926849365234, 1.5295414924621582, 0.4596603214740753, -1.071533203125, -0.184326171875, -0.26123046875, 0, 
3, 203688280, 0.14986804127693176, 0.6377100348472595, -0.2057831734418869, 0.7269930243492126, 0.9999994039535522, -0.00107647106051445, 0.0001082858070731163, 0.000027540139853954315, 0.08025175333023071, -0.009367823600769043, 0.007938683032989502, 9.630462646484375, -1.1254645586013794, 0.9525135159492493, -14.803135871887207, 1.489096760749817, 0.37871935963630676, -1.070556640625, -0.187255859375, -0.26171875, 0, 
4, 203696613, 0.15059930086135864, 0.6374409198760986, -0.2066260427236557, 0.7268388867378235, 0.9999993443489075, -0.001151103526353836, 0.00012159626930952072, 0.00003806035965681076, 0.0802190899848938, -0.009555339813232422, 0.007766246795654297, 9.626518249511719, -1.1481255292892456, 0.9318369626998901, -15.829446792602539, 1.672135829925537, 0.5233885645866394, -1.072509765625, -0.18408203125, -0.2626953125, 0, 
5, 203704946, 0.150939479470253, 0.6371590495109558, -0.208091601729393, 0.7265974879264832, 0.9999992251396179, -0.0012280028313398361, 0.00011343229562044144, 0.00003116484731435776, 0.08006399869918823, -0.009836733341217041, 0.007607638835906982, 9.607924461364746, -1.1818739175796509, 0.912593424320221, -16.886930465698242, 1.5598689317703247, 0.4285646975040436, -1.069580078125, -0.182861328125, -0.263427734375, 0, 
6, 203713279, 0.1517544388771057, 0.6368619203567505, -0.20903237164020538, 0.726418137550354, 0.9999991655349731, -0.001284884288907051, 0.00012910086661577225, 0.00004197005182504654, 0.07977169752120972, -0.010210573673248291, 0.007565319538116455, 9.572816848754883, -1.226885437965393, 0.9075353145599365, -17.66914176940918, 1.7753360271453857, 0.5771529078483582, -1.075927734375, -0.1845703125, -0.265625, 0, 
7, 203721612, 0.1520230919122696, 0.6366918683052063, -0.21092765033245087, 0.7259628772735596, 0.9999991059303284, -0.0013301931321620941, 0.00013109762221574783, 0.00003336649388074875, 0.0798296332359314, -0.010739445686340332, 0.007504940032958984, 9.579777717590332, -1.2903026342391968, 0.9001697301864624, -18.292203903198242, 1.802794337272644, 0.4588406980037689, -1.073486328125, -0.18310546875, -0.26220703125, 0, 
8, 203729945, 0.15291211009025574, 0.6363709568977356, -0.2119133621454239, 0.7257704138755798, 0.9999990463256836, -0.0013709664344787598, 0.00014817249029874802, 0.00002062227576971054, 0.07993364334106445, -0.011039137840270996, 0.007476627826690674, 9.592259407043457, -1.3261810541152954, 0.8968344330787659, -18.8528995513916, 2.037600040435791, 0.28358808159828186, -1.072021484375, -0.18115234375, -0.264892578125, 0, 
9, 203738278, 0.1527983397245407, 0.6362040638923645, -0.2138320505619049, 0.7253778576850891, 0.9999989867210388, -0.0014107991009950638, 0.00015123654156923294, 0.000014769844710826874, 0.07994699478149414, -0.011464178562164307, 0.007002830505371094, 9.59387493133545, -1.3770921230316162, 0.8398795127868652, -19.400663375854492, 2.07973575592041, 0.20310813188552856, -1.074951171875, -0.18603515625, -0.267333984375, 0, 
10, 203746611, 0.1537443995475769, 0.635857343673706, -0.21485647559165955, 0.7251794338226318, 0.999998927116394, -0.0014403779059648514, 0.00017111282795667648, 0.00000939052551984787, 0.07989883422851562, -0.011986017227172852, 0.0068441033363342285, 9.588088035583496, -1.4396593570709229, 0.8208909034729004, -19.807418823242188, 2.3530654907226562, 0.12913420796394348, -1.07373046875, -0.18359375, -0.269287109375, 0, 
11, 203754944, 0.15358659625053406, 0.6356372833251953, -0.21691802144050598, 0.724791944026947, 0.9999989867210388, -0.0014211088418960571, 0.00017975177615880966, 0.000021823681890964508, 0.07969802618026733, -0.012203216552734375, 0.006754279136657715, 9.563968658447266, -1.4658076763153076, 0.8101826310157776, -19.542434692382812, 2.4718637466430664, 0.30010926723480225, -1.072265625, -0.18359375, -0.272705078125, 0, 
12, 203763277, 0.15448957681655884, 0.635281503200531, -0.21793349087238312, 0.7246073484420776, 0.9999989867210388, -0.0014046002179384232, 0.00018041487783193588, 0.00003986340016126633, 0.07955735921859741, -0.012304902076721191, 0.006836831569671631, 9.547059059143066, -1.4781720638275146, 0.820101797580719, -19.315420150756836, 2.480983018875122, 0.5481833219528198, -1.072265625, -0.18359375, -0.271728515625, 0, 
13, 203771610, 0.15447916090488434, 0.6349942088127136, -0.2202799767255783, 0.7241514921188354, 0.9999989867210388, -0.0013942830264568329, 0.00017924699932336807, 0.00005214568227529526, 0.07961517572402954, -0.012600719928741455, 0.006699740886688232, 9.55398178100586, -1.5137561559677124, 0.8036069869995117, -19.173542022705078, 2.4649226665496826, 0.7170834541320801, -1.0703125, -0.181640625, -0.273681640625, 0, 
14, 203779943, 0.15536051988601685, 0.6346383690834045, -0.2212872952222824, 0.7239677309989929, 0.9999990463256836, -0.001384541392326355, 0.00017961766570806503, 0.000051456503570079803, 0.07968699932098389, -0.013254106044769287, 0.006700456142425537, 9.56259822845459, -1.5921494960784912, 0.803605318069458, -19.03957748413086, 2.470019578933716, 0.7076061964035034, -1.07080078125, -0.18212890625, -0.274658203125, 0, 
15, 203788276, 0.15530546009540558, 0.6343538761138916, -0.22347699105739594, 0.7235561609268188, 0.9999990463256836, -0.001349031925201416, 0.0001783343032002449, 0.000043285079300403595, 0.08008074760437012, -0.01380389928817749, 0.006398200988769531, 9.609867095947266, -1.657981276512146, 0.7672949433326721, -18.551267623901367, 2.45237135887146, 0.5952365398406982, -1.0693359375, -0.18115234375, -0.276611328125, 0, 
16, 203796609, 0.15613652765750885, 0.6340122818946838, -0.22440339624881744, 0.7233899831771851, 0.9999991655349731, -0.001287762075662613, 0.00018357206135988235, 0.000036747194826602936, 0.08045989274978638, -0.014300763607025146, 0.006004512310028076, 9.655377388000488, -1.7174468040466309, 0.7201308608055115, -17.70871353149414, 2.5243985652923584, 0.5053305625915527, -1.07080078125, -0.18212890625, -0.272705078125, 0, 
