PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 3282996225, 0.07886987924575806, -0.6125611662864685, -0.0427648164331913, -0.7853159308433533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.005859375, -0.277099609375, -0.181640625, 0, 
1, 3283004558, 0.07830292731523514, -0.6123114824295044, -0.04240789636969566, -0.7855867147445679, 0.9999997019767761, -0.0006195306777954102, 0.00036578159779310226, -0.00025857798755168915, 0.08059000968933105, -0.002581655979156494, 0.022999286651611328, 9.670239448547363, -0.3090055584907532, 2.7634365558624268, -8.519500732421875, 5.030059814453125, -3.5558454990386963, -1.0087890625, -0.276123046875, -0.18408203125, 0, 
2, 3283012891, 0.07771354168653488, -0.6120498776435852, -0.04203077778220177, -0.7858694195747375, 0.9999997019767761, -0.0006486289203166962, 0.0003830576315522194, -0.00026535987854003906, 0.07942944765090942, -0.002081930637359619, 0.022933244705200195, 9.53094482421875, -0.24911198019981384, 2.7555229663848877, -8.919645309448242, 5.267631530761719, -3.649106740951538, -1.0078125, -0.275146484375, -0.18408203125, 0, 
3, 3283021224, 0.07754451036453247, -0.6104356646537781, -0.04143841564655304, -0.7871708869934082, 0.9999996423721313, -0.0006838012486696243, 0.0003697378560900688, -0.00025126151740550995, 0.07864910364151001, -0.0013367533683776855, 0.02262777090072632, 9.437321662902832, -0.159912109375, 2.7187612056732178, -9.403318405151367, 5.084464073181152, -3.4552323818206787, -1.00927734375, -0.279052734375, -0.185546875, 0, 
4, 3283029557, 0.07690655440092087, -0.610226035118103, -0.040985677391290665, -0.7874196767807007, 0.9999996423721313, -0.0007398799061775208, 0.00032567698508501053, -0.0002537909895181656, 0.0780687928199768, -0.0003458857536315918, 0.021728456020355225, 9.367792129516602, -0.04106208682060242, 2.6105282306671143, -10.17448616027832, 4.478559494018555, -3.4900166988372803, -1.010009765625, -0.277099609375, -0.18798828125, 0, 
5, 3283037890, 0.07643445581197739, -0.6075648069381714, -0.04122938960790634, -0.789508044719696, 0.9999996423721313, -0.0007907338440418243, 0.0002547362819314003, -0.00021917186677455902, 0.07823866605758667, 0.00040209293365478516, 0.02096235752105713, 9.388358116149902, 0.04832175374031067, 2.518035650253296, -10.873807907104492, 3.503016233444214, -3.0139505863189697, -1.010498046875, -0.279541015625, -0.18798828125, 0, 
6, 3283046223, 0.07574422657489777, -0.6074557900428772, -0.040663570165634155, -0.7896876931190491, 0.9999995827674866, -0.0008651558309793472, 0.00021000858396291733, -0.00021946430206298828, 0.07870376110076904, 0.0004279017448425293, 0.020303308963775635, 9.444311141967773, 0.051314692944288254, 2.438507080078125, -11.897225379943848, 2.887941360473633, -3.017972230911255, -1.005615234375, -0.281494140625, -0.18798828125, 0, 
7, 3283054556, 0.07448370009660721, -0.6058439016342163, -0.04226133972406387, -0.790960967540741, 0.9999995231628418, -0.0009253192692995071, 0.00017787236720323563, -0.0002096816897392273, 0.07928699254989624, 0.0008690953254699707, 0.020604968070983887, 9.514361381530762, 0.10400452464818954, 2.474468469619751, -12.724563598632812, 2.446018695831299, -2.883445978164673, -1.006591796875, -0.276611328125, -0.189453125, 0, 
8, 3283062889, 0.07373809069395065, -0.6057901382446289, -0.04161582514643669, -0.7911062836647034, 0.9999995231628418, -0.0009644702076911926, 0.00014703627675771713, -0.00021167658269405365, 0.07995283603668213, 0.0002086162567138672, 0.020812034606933594, 9.594356536865234, 0.02466174028813839, 2.49895977973938, -13.26294994354248, 2.02197527885437, -2.910878896713257, -1.010009765625, -0.277099609375, -0.18896484375, 0, 
9, 3283071222, 0.07218341529369354, -0.6054257154464722, -0.04343387857079506, -0.7914308905601501, 0.9999995231628418, -0.000981166958808899, 0.00008788425475358963, -0.00019909441471099854, 0.08045977354049683, -0.0004177689552307129, 0.0197145938873291, 9.655360221862793, -0.05053471401333809, 2.366647720336914, -13.492555618286133, 1.2085436582565308, -2.737854480743408, -1.009033203125, -0.278076171875, -0.19140625, 0, 
10, 3283079555, 0.07142005115747452, -0.6054630279541016, -0.042758356779813766, -0.7915083765983582, 0.999999463558197, -0.0010029599070549011, 0.000032986514270305634, -0.00019918382167816162, 0.08098214864730835, -0.0008342266082763672, 0.018929898738861084, 9.718191146850586, -0.10045276582241058, 2.271897554397583, -13.792245864868164, 0.4536154270172119, -2.739084482192993, -1.008056640625, -0.281005859375, -0.19384765625, 0, 
11, 3283087888, 0.07024263590574265, -0.6057696342468262, -0.04408824071288109, -0.7913063168525696, 0.999999463558197, -0.0010110028088092804, 0.000027320347726345062, -0.0002184603363275528, 0.08141064643859863, -0.0023095011711120605, 0.020035624504089355, 9.769662857055664, -0.2774483859539032, 2.404357671737671, -13.902846336364746, 0.3756968677043915, -3.0041663646698, -1.009033203125, -0.279052734375, -0.1943359375, 0, 
12, 3283096221, 0.0694044902920723, -0.6057882905006409, -0.04340767487883568, -0.7914036512374878, 0.9999994039535522, -0.0010518822818994522, 0.00005516130477190018, -0.00025702081620693207, 0.08152693510055542, -0.0024449825286865234, 0.02113211154937744, 9.783557891845703, -0.2935608923435211, 2.5361835956573486, -14.465003967285156, 0.7585530281066895, -3.5344326496124268, -1.009521484375, -0.2783203125, -0.19677734375, 0, 
13, 3283104554, 0.06860125809907913, -0.6064646244049072, -0.043968647718429565, -0.7909244298934937, 0.9999993443489075, -0.0010886061936616898, 0.00012786034494638443, -0.000304175540804863, 0.08164781332015991, -0.0025568008422851562, 0.02127140760421753, 9.797898292541504, -0.30662915110588074, 2.5535807609558105, -14.970012664794922, 1.7582767009735107, -4.182883262634277, -1.008544921875, -0.277099609375, -0.1962890625, 0, 
14, 3283112887, 0.0676540657877922, -0.6063931584358215, -0.043308816850185394, -0.7910972237586975, 0.9999993443489075, -0.00109906867146492, 0.00016486365348100662, -0.00036404840648174286, 0.08086740970611572, -0.0024579763412475586, 0.02091813087463379, 9.704171180725098, -0.29419371485710144, 2.5115549564361572, -15.113885879516602, 2.2671291828155518, -5.0062255859375, -1.007568359375, -0.277099609375, -0.1953125, 0, 
15, 3283121220, 0.06706216931343079, -0.6068649888038635, -0.04325872287154198, -0.790788471698761, 0.9999992847442627, -0.0010952427983283997, 0.00017400365322828293, -0.00038489513099193573, 0.08052915334701538, -0.0018353462219238281, 0.01980990171432495, 9.663558006286621, -0.21914085745811462, 2.3787171840667725, -15.061275482177734, 2.392817974090576, -5.292901039123535, -1.008056640625, -0.281982421875, -0.19677734375, 0, 
16, 3283129553, 0.06608538329601288, -0.6067707538604736, -0.04261909797787666, -0.7909777760505676, 0.9999992847442627, -0.0011005252599716187, 0.00018997211009263992, -0.0004010051488876343, 0.07991307973861694, -0.0021728873252868652, 0.020307183265686035, 9.589595794677734, -0.2595999240875244, 2.4384868144989014, -15.133916854858398, 2.6124088764190674, -5.514437675476074, -1.004150390625, -0.278564453125, -0.19921875, 0, 
17, 3283137886, 0.06561992317438126, -0.6071776151657104, -0.04235883057117462, -0.7907183766365051, 0.9999992847442627, -0.0010984409600496292, 0.00019676145166158676, -0.0003996994346380234, 0.07951289415359497, -0.0021457672119140625, 0.01997917890548706, 9.541561126708984, -0.2563263475894928, 2.3991873264312744, -15.105257034301758, 2.705773115158081, -5.496482849121094, -1.006103515625, -0.282470703125, -0.20068359375, 0, 
