PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 42099055, 0.8963572382926941, -0.0018124255584552884, -0.2694465219974518, 0.3520495891571045, 0, 0, 0, 0, 0, 0, 0.0078125, 0.6025390625, -0.828369140625, 
1, 42107388, 0.8963414430618286, -0.0018059550784528255, -0.26941031217575073, 0.35211753845214844, 4.955146312713623, -2.0567355155944824, 8.687749862670898, 0.5065599083900452, 0.3540271818637848, 0.8917211294174194, 0.0078125, 0.60546875, -0.827392578125, 
2, 42115721, 0.8963378667831421, -0.0017610099166631699, -0.26934579014778137, 0.35217612981796265, 4.952607154846191, -2.027444839477539, 8.678980827331543, 1.0836997032165527, 0.5636028051376343, 0.5753340721130371, 0.0048828125, 0.603759765625, -0.827880859375, 
3, 42124054, 0.896507978439331, -0.0023236428387463093, -0.2696389853954315, 0.35151514410972595, 4.959073543548584, -1.993525505065918, 8.701675415039062, 1.314868450164795, 0.7160331010818481, 0.7261251211166382, 0.004638671875, 0.6025390625, -0.825439453125, 
4, 42132387, 0.8965127468109131, -0.002254921244457364, -0.26947253942489624, 0.35163113474845886, 4.967318534851074, -1.952727198600769, 8.758674621582031, 2.0824246406555176, 1.7338662147521973, 1.1570334434509277, 0.007080078125, 0.60302734375, -0.819091796875, 
5, 42140720, 0.8965836763381958, -0.002658535959199071, -0.2697867751121521, 0.3512064814567566, 4.917526721954346, -1.969940185546875, 8.86260986328125, 1.2036768198013306, 1.5966761112213135, 1.2798279523849487, 0.005615234375, 0.6015625, -0.822509765625, 
6, 42149053, 0.896560788154602, -0.0027337290812283754, -0.26979631185531616, 0.35125696659088135, 4.920004367828369, -2.0063366889953613, 8.784649848937988, -0.7872022986412048, 0.15838561952114105, 1.0126714706420898, 0.006591796875, 0.6025390625, -0.818115234375, 
7, 42157386, 0.8966728448867798, -0.0028722230345010757, -0.2698299288749695, 0.3509434163570404, 4.97444486618042, -2.0521795749664307, 8.69855785369873, 0.15730983018875122, 0.4281291365623474, 0.809601902961731, 0.006103515625, 0.59912109375, -0.818603515625, 
8, 42165719, 0.8966726064682007, -0.0028163923416286707, -0.269680917263031, 0.35105887055397034, 4.981902122497559, -2.052002429962158, 8.716057777404785, 1.8365789651870728, 1.563172698020935, 1.222861886024475, 0.007080078125, 0.60205078125, -0.817626953125, 
9, 42174052, 0.8967305421829224, -0.0029631052166223526, -0.2696698009967804, 0.3509185016155243, 4.944505214691162, -2.030435800552368, 8.778191566467285, 1.3298524618148804, 1.3636378049850464, 1.2948378324508667, 0.006591796875, 0.6015625, -0.814697265625, 
10, 42182385, 0.896714985370636, -0.002992744790390134, -0.26961302757263184, 0.35100165009498596, 4.989272594451904, -2.031986713409424, 8.786215782165527, 0.21627378463745117, 0.7826301455497742, 1.2125905752182007, 0.004638671875, 0.6015625, -0.816162109375, 
11, 42190718, 0.8968071341514587, -0.003366644261404872, -0.2697978615760803, 0.35062074661254883, 4.989713668823242, -2.06558895111084, 8.649260520935059, -1.1277434825897217, -0.21877120435237885, 1.8304574489593506, 0.006591796875, 0.60400390625, -0.815673828125, 
12, 42199051, 0.8967496156692505, -0.00347108650021255, -0.2698323130607605, 0.35074037313461304, 4.93618631362915, -2.1119322776794434, 8.628705024719238, -1.0131198167800903, -0.13998179137706757, 2.1386733055114746, 0.009033203125, 0.60205078125, -0.813232421875, 
13, 42207384, 0.8968345522880554, -0.003791778115555644, -0.2699891924858093, 0.35039907693862915, 4.892624378204346, -2.154322624206543, 8.649028778076172, 0.044018059968948364, 0.8535303473472595, 1.9158294200897217, 0.008544921875, 0.59912109375, -0.815185546875, 
14, 42215717, 0.8968315720558167, -0.003801910439506173, -0.2698892652988434, 0.35048359632492065, 4.873594760894775, -2.176501989364624, 8.77656078338623, 0.6697738170623779, 1.2652279138565063, 1.0996575355529785, 0.005126953125, 0.603515625, -0.815673828125, 
15, 42224050, 0.8967470526695251, -0.004088384099304676, -0.2701355814933777, 0.3505064845085144, 4.888038158416748, -2.152719497680664, 8.785865783691406, 0.8165689706802368, 0.4794600307941437, 0.5937507748603821, 0.006103515625, 0.60107421875, -0.814208984375, 
16, 42232383, 0.896754264831543, -0.0040124282240867615, -0.2700434625148773, 0.3505600094795227, 4.877231597900391, -2.112077474594116, 8.785465240478516, 1.5811793804168701, 0.7928245663642883, 0.3482895493507385, 0.006103515625, 0.60205078125, -0.814697265625, 
17, 42240716, 0.8968155980110168, -0.004262280650436878, -0.2700449824333191, 0.35039886832237244, 4.914740562438965, -2.0719408988952637, 8.857795715332031, 1.9476935863494873, 1.1164348125457764, -0.0975390076637268, 0.007080078125, 0.60107421875, -0.813232421875, 
18, 42249049, 0.8968174457550049, -0.004181443247944117, -0.2700102627277374, 0.35042181611061096, 4.960038661956787, -2.045377016067505, 8.827316284179688, 1.2492189407348633, 0.04386437311768532, -0.025025105103850365, 0.010009765625, 0.603515625, -0.816650390625, 
