person_name,grasping_exploratory,grasping_performance,grasping_double,gender,time_1,time_2,time_3,mean_jerk_x,mean_jerk_y,mean_jerk_z,mean_jerk_vector,mean_jerk_1_x,mean_jerk_2_x,mean_jerk_3_x,mean_jerk_1_y,mean_jerk_2_y,mean_jerk_3_y,mean_jerk_1_z,mean_jerk_2_z,mean_jerk_3_z,mean_jerk_1_vector,mean_jerk_2_vector,mean_jerk_3_vector,pos_peaks_1,neg_peaks_1,pos_peaks_2,neg_peaks_2,pos_peaks_3,neg_peaks_3,pos_peaks,neg_peaks,time,height,level,experience,training,age
p1,2,21,2,1,20.2,17.875,23.008333333333333,5801052.197895302,1672166.671992668,5713121.568999025,4946886.370276449,6970567.871492144,4352940.093178377,18712166.22378586,1683103.330675256,1739224.964147909,4314672.810911878,6398765.969416901,4141526.2099154694,19845876.33673324,5708838.82982241,3931051.926119963,15648948.558138736,17,24,18,18,22,23,57,65,61.075,173,13,12.0,1.0,28
p2,7,21,3,0,22.875,27.158333333333335,28.258333333333333,22458429.439075667,15158533.252063932,16744413.447556086,21073609.603408415,13439189.68841005,37632104.920548744,63933134.43561311,10883574.34692925,28843928.323894788,33737898.145242974,12853034.370059993,28662428.41878141,38775013.454949364,15155445.847005557,36856327.09170764,50781738.11430742,28,45,42,44,41,38,111,127,78.28333333333333,171,13,4.0,1.5,26
p3,2,22,2,0,17.475,23.558333333333334,23.008333333333333,3881324.5938355024,5853816.143026435,2831167.6664788006,3802569.1916852403,2152884.7528256504,10298208.23355492,7401498.258716132,2975921.6457818346,15892207.266770748,11916119.605506618,1137512.4626789289,7019093.36012068,7541860.715606541,1660518.4947335022,9079714.048980854,9915090.161726186,15,12,35,30,19,19,69,61,64.03333333333333,157,15,14.0,2.0,23
p4,2,21,2,0,25.233333333333334,28.3,29.591666666666665,2981233.9229239826,3018579.347466126,9116930.66296447,7393260.364379929,1492558.9705346976,3814259.570892219,10309935.761776475,1384980.6912147463,4297710.132705546,10183681.409478744,4238329.583116058,10554755.356252076,33657543.92621751,4036823.73873723,9546121.891718203,24728660.556246053,25,22,36,36,16,21,77,79,83.11666666666666,168,13,5.0,1.5,26
p5,1,19,2,1,14.758333333333333,16.916666666666668,12.408333333333333,793672.4487803867,626330.7823017372,1101096.8563387368,931081.4012768551,1210272.4881422112,2866798.6748732054,395160.44685896643,637276.7911681869,2560476.6470471905,381245.1761940216,1453789.505852254,3920271.755881548,654605.2286085213,1170561.631429613,3685061.0309292497,500352.440441832,35,28,21,19,36,38,92,85,44.075,176,17,13.0,1.5,27
p6,1,20,3,0,17.633333333333333,18.225,26.175,15016524.929865569,12793300.670083934,9383191.287292337,12916260.139757127,9117184.818363937,10363955.393301208,87611078.87415598,7375651.7566033,9735426.35297116,71897958.86707811,6024407.494923051,7072827.284665251,48607889.116449244,7985014.146908085,9401856.817044536,71373007.31820531,32,38,42,46,59,58,133,142,62.025,179,19,13.0,2.5,24
p7,2,19,2,0,18.858333333333334,21.416666666666668,25.641666666666666,12782950.916410683,15086743.334879994,16909212.604892876,15109293.951663928,8870319.067181189,14942630.621108841,44838653.93643294,8519133.060087375,20711853.05256706,54413035.37398206,10356179.245493788,22412465.03058582,59117373.43420414,10067325.949712878,18445478.09347094,52993621.23339355,30,35,41,49,47,48,118,132,65.90833333333333,170,17,10.0,4.0,23
p8,5,21,3,0,24.833333333333332,33.24166666666667,24.083333333333332,1788105.821615027,10035368.325482497,5284716.603433643,10492609.190673131,1042406.613309202,6992519.229983527,1886731.3205359573,5588886.484123593,36117528.595730454,11426458.395514084,2638886.152699342,16544544.885769572,6774738.713635838,6037525.3067433415,40169057.0362944,11311409.928272363,18,21,34,36,22,23,74,80,82.15,170,13,16.0,1.0,25
p9,2,18,2,1,15.216666666666667,13.858333333333333,14.083333333333334,555631.912511003,879067.592785304,304428.2477622427,294420.72680712724,1004896.9335079056,656653.229509916,823102.1530756671,1777698.6408648465,1145120.8874724915,1057856.2731932306,629491.0058062879,406144.75497806084,347277.8523216332,603247.3890456818,401118.9336908148,330208.92177044885,10,5,18,13,16,17,44,35,43.15,177,16,19.0,3.0,25
p10,4,20,1,1,20.833333333333332,23.425,28.9,16972284.16757686,13904652.354166234,11804891.640728481,10230839.956917832,10091842.188346907,18302877.581531078,72030068.93331394,7572459.669541315,13234251.156571953,67618594.11226685,7134343.823607525,15207275.127937965,42466716.66463764,6054360.752814854,12334700.330033822,39858783.339441165,34,27,25,25,20,22,79,74,73.15,173,16,6.0,2.5,25
p11,4,17,1,1,21.616666666666667,26.7,22.983333333333334,8061072.454867404,7567921.300998063,15887562.332650013,11275281.171350576,6235180.529463274,20895936.47138412,11863486.181334818,6164488.146966735,20397611.41896511,10388003.295105563,11532586.259891622,38633641.37287985,25745414.10199691,8334057.822449676,31097779.02639335,16253164.901486283,27,27,22,18,35,45,84,90,71.29166666666667,186,16,1.5,2.0,21
p12,0,19,2,1,21.533333333333335,19.583333333333332,20.383333333333333,878659.8836273957,1268773.162525308,1063953.7819240168,1118620.1479918754,1059816.3465978263,1592610.321018708,1038779.5127810523,1866527.8588644438,1893345.7632955075,1743527.8611395196,1546352.1992938567,1751113.979026832,1276940.9013443573,1370042.6813741936,2068414.623303169,1261503.6706665992,6,8,15,15,22,22,43,45,61.49166666666667,177,15,6.0,1.5,22
