PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 2901030682, 0.04167010262608528, -0.6864748597145081, -0.03479252755641937, -0.7251231074333191, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.548095703125, -0.598876953125, 0.06298828125, 
1, 2901039015, 0.04178927093744278, -0.6864481568336487, -0.034770719707012177, -0.7251425385475159, 0.08170944452285767, -0.0007846355438232422, 0.004409968852996826, 9.80546760559082, -0.0959402471780777, 0.5299301147460938, 0.9131091237068176, 0.519597589969635, 1.3703999519348145, -0.551025390625, -0.59814453125, 0.0615234375, 
2, 2901047348, 0.04190942272543907, -0.6864098906517029, -0.034745872020721436, -0.7251729965209961, 0.08173948526382446, -0.0006630420684814453, 0.004629790782928467, 9.809063911437988, -0.08120862394571304, 0.5565097332000732, 0.8935141563415527, 0.7409301400184631, 1.3965775966644287, -0.547119140625, -0.597900390625, 0.06103515625, 
3, 2901055681, 0.04182583838701248, -0.6865148544311523, -0.03430602699518204, -0.7251008152961731, 0.08193749189376831, -0.0004807710647583008, 0.0046844482421875, 9.832829475402832, -0.05938279256224632, 0.5630452632904053, 0.8787603378295898, 0.7015866637229919, 1.3932991027832031, -0.547607421875, -0.600830078125, 0.0595703125, 
4, 2901064014, 0.04194588214159012, -0.6864889860153198, -0.03428421914577484, -0.7251194715499878, 0.08169281482696533, -0.0004659891128540039, 0.004631638526916504, 9.80348014831543, -0.05769234895706177, 0.5564995408058167, 0.9228937029838562, 0.5048437118530273, 1.3802870512008667, -0.543701171875, -0.596435546875, 0.0595703125, 
5, 2901072347, 0.04150304198265076, -0.6863987445831299, -0.03371646627783775, -0.7252569198608398, 0.08187538385391235, -0.000512540340423584, 0.0046836137771606445, 9.825438499450684, -0.061507295817136765, 0.5620560646057129, 0.8391863703727722, 0.35407841205596924, 1.3737812042236328, -0.549560546875, -0.59521484375, 0.0595703125, 
6, 2901080680, 0.041623178869485855, -0.6863766312599182, -0.03369728848338127, -0.7252718210220337, 0.08184480667114258, -0.0004215240478515625, 0.004611492156982422, 9.821725845336914, -0.05237751826643944, 0.5539947748184204, 0.94907146692276, 0.42774489521980286, 1.3606408834457397, -0.549560546875, -0.59765625, 0.06103515625, 
7, 2901089013, 0.04141727089881897, -0.6862419247627258, -0.033526577055454254, -0.7254188656806946, 0.08193594217300415, -0.0005137920379638672, 0.004403114318847656, 9.832658767700195, -0.06340225785970688, 0.5290584564208984, 0.9557055830955505, 0.49987465143203735, 1.3819009065628052, -0.550537109375, -0.5986328125, 0.0625, 
8, 2901097346, 0.0415390208363533, -0.6862174868583679, -0.0335027314722538, -0.7254360914230347, 0.08181297779083252, -0.0006358027458190918, 0.004714488983154297, 9.81789779663086, -0.07808477431535721, 0.5663930177688599, 0.9162851572036743, 0.47536173462867737, 1.4179655313491821, -0.549072265625, -0.597900390625, 0.06201171875, 
9, 2901105679, 0.04164045304059982, -0.6861559152603149, -0.03366849571466446, -0.7254809141159058, 0.08190417289733887, -0.0005605220794677734, 0.004842221736907959, 9.828841209411621, -0.06904923915863037, 0.581754744052887, 0.8605998158454895, 0.5328400731086731, 1.4966013431549072, -0.547119140625, -0.598388671875, 0.0625, 
