PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 2859691041, 0.35191506147384644, 0.002356919925659895, -0.003696513595059514, 0.9360216856002808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.37255859375, -0.46875, -0.408935546875, 
1, 2859699374, 0.3518241047859192, 0.002339688828215003, -0.003625027369707823, 0.9360561966896057, 0.0006649494171142578, -0.00042325258255004883, 0.08593779802322388, 0.07979750633239746, -0.050792060792446136, 10.312947273254395, 0.8425930142402649, 0.5638845562934875, 1.3359745740890503, 0.373046875, -0.47119140625, -0.406982421875, 
2, 2859707707, 0.351732075214386, 0.002327819587662816, -0.003561882534995675, 0.9360910058021545, 0.0004900097846984863, -0.0002905130386352539, 0.0862123966217041, 0.05880352109670639, -0.034862957894802094, 10.345900535583496, 0.7589369416236877, 0.4540763199329376, 1.3523931503295898, 0.37353515625, -0.4677734375, -0.407958984375, 
3, 2859716040, 0.3512961268424988, 0.002384571824222803, -0.0034669546876102686, 0.9362549781799316, 0.00039273500442504883, -0.00037282705307006836, 0.08581578731536865, 0.04651286080479622, -0.04338448494672775, 10.298314094543457, 0.9408748745918274, 0.41957399249076843, 1.359001636505127, 0.37353515625, -0.4677734375, -0.406494140625, 
4, 2859724373, 0.35120534896850586, 0.0023801031056791544, -0.0033928866032510996, 0.9362893104553223, 0.0003415346145629883, -0.00033032894134521484, 0.08610576391220093, 0.04036097228527069, -0.03824414312839508, 10.333111763000488, 0.9359569549560547, 0.4113774001598358, 1.3327982425689697, 0.373046875, -0.46826171875, -0.406982421875, 
5, 2859732706, 0.35152849555015564, 0.0022477046586573124, -0.003142013680189848, 0.9361692667007446, 0.0004127025604248047, -0.00036472082138061523, 0.0859684944152832, 0.048787672072649, -0.04255521297454834, 10.31663990020752, 0.842567503452301, 0.5032557249069214, 1.3966290950775146, 0.375, -0.470458984375, -0.407958984375, 
6, 2859741039, 0.35143154859542847, 0.0022353336680680513, -0.003076165681704879, 0.9362059235572815, 0.0007115602493286133, -0.000293731689453125, 0.08601444959640503, 0.08468829095363617, -0.03410344570875168, 10.322155952453613, 0.7917232513427734, 0.47382494807243347, 1.4245229959487915, 0.37353515625, -0.4697265625, -0.407470703125, 
7, 2859749372, 0.3515576720237732, 0.0020448178984224796, -0.0028395620174705982, 0.9361596703529358, 0.00044608116149902344, -0.00023752450942993164, 0.08613646030426025, 0.052896950393915176, -0.027217689901590347, 10.33679485321045, 0.9245074391365051, 0.44908156991004944, 1.4016238451004028, 0.37451171875, -0.46875, -0.409912109375, 
8, 2859757705, 0.35146889090538025, 0.002031334675848484, -0.0027665598317980766, 0.9361932277679443, 0.0004404783248901367, -0.0003027915954589844, 0.08583134412765503, 0.052859511226415634, -0.03633644059300423, 10.300172805786133, 0.8786834478378296, 0.5244642496109009, 1.3031882047653198, 0.37451171875, -0.468017578125, -0.406494140625, 
9, 2859766038, 0.35163119435310364, 0.0019929769914597273, -0.002589965471997857, 0.9361330270767212, 0.0004949569702148438, -0.0002307295799255371, 0.08599931001663208, 0.05867118015885353, -0.026414673775434494, 10.320337295532227, 0.9344200491905212, 0.5244642496109009, 1.3884578943252563, 0.37451171875, -0.468994140625, -0.408447265625, 
10, 2859774371, 0.35154175758361816, 0.001990685472264886, -0.0025134612806141376, 0.9361668229103088, 0.0005034804344177246, -0.0002803802490234375, 0.08590787649154663, 0.05982325226068497, -0.03220294415950775, 10.309365272521973, 0.9768885374069214, 0.3964955508708954, 1.3131779432296753, 0.37109375, -0.4697265625, -0.406982421875, 
11, 2859782704, 0.3516581356525421, 0.0019740057177841663, -0.0023795149754732847, 0.9361234903335571, 0.0006049871444702148, -0.000344693660736084, 0.08603030443191528, 0.07207837700843811, -0.040166035294532776, 10.324057579040527, 0.824304461479187, 0.34926286339759827, 1.4393789768218994, 0.37353515625, -0.466796875, -0.407470703125, 
12, 2859791037, 0.351559579372406, 0.001970179844647646, -0.0023100704420357943, 0.9361607432365417, 0.0005699396133422852, -0.00033402442932128906, 0.08616763353347778, 0.06785059720277786, -0.038862358778715134, 10.340537071228027, 0.8784529566764832, 0.3819722533226013, 1.447575569152832, 0.3740234375, -0.46826171875, -0.407470703125, 
13, 2859799370, 0.35172024369239807, 0.001975802704691887, -0.002218338893726468, 0.9361004829406738, 0.0005961060523986816, -0.00023221969604492188, 0.08592343330383301, 0.07085273414850235, -0.026547998189926147, 10.311232566833496, 0.9147483706474304, 0.4654490649700165, 1.3589760065078735, 0.373046875, -0.4677734375, -0.408447265625, 
14, 2859807703, 0.35162433981895447, 0.0019676326774060726, -0.0021505786571651697, 0.9361366629600525, 0.00042176246643066406, -0.0003573298454284668, 0.08606094121932983, 0.04996867850422859, -0.041657522320747375, 10.327733993530273, 0.8359333276748657, 0.43120282888412476, 1.4081553220748901, 0.37353515625, -0.46826171875, -0.406494140625, 
15, 2859816036, 0.35164308547973633, 0.001992166740819812, -0.0020813641604036093, 0.9361298084259033, 0.0004163980484008789, -0.0003624558448791504, 0.08596950769424438, 0.04931498318910599, -0.04216574877500534, 10.316761016845703, 0.9162851572036743, 0.44247308373451233, 1.3622801303863525, 0.37353515625, -0.468017578125, -0.406005859375, 
16, 2859824369, 0.3515436351299286, 0.0019782590679824352, -0.002005451126024127, 0.9361673593521118, 0.0005174875259399414, -0.0003973841667175293, 0.08593922853469849, 0.06138817220926285, -0.046515461057424545, 10.313128471374512, 0.9147740602493286, 0.5442385077476501, 1.4605109691619873, 0.3740234375, -0.46923828125, -0.408447265625, 
17, 2859832702, 0.3515976071357727, 0.0019732345826923847, -0.0019523347727954388, 0.9361472725868225, 0.0004647970199584961, -0.00033968687057495117, 0.08607649803161621, 0.055073317140340805, -0.03947169706225395, 10.32960033416748, 0.9098303914070129, 0.4867601692676544, 1.3753434419631958, 0.37060546875, -0.46923828125, -0.406494140625, 
18, 2859841035, 0.3514995574951172, 0.0019585639238357544, -0.001878569251857698, 0.936184287071228, 0.0004131793975830078, -0.0003287792205810547, 0.08586287498474121, 0.04884714633226395, -0.03828159347176552, 10.303963661193848, 0.8820133209228516, 0.5442896485328674, 1.440813422203064, 0.37255859375, -0.46728515625, -0.407470703125, 
