PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 2884770883, 0.5446749329566956, -0.5229573845863342, 0.4533381760120392, -0.4736340045928955, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.425048828125, 0.6943359375, 0.051513671875, 
1, 2884779216, 0.544744610786438, -0.5228580832481384, 0.4533793330192566, -0.4736241102218628, -0.00010210275650024414, -0.08250290155410767, 0.003314971923828125, -0.014152019284665585, -9.900693893432617, 0.3990009129047394, 0.9146715402603149, 0.45077210664749146, 1.44255530834198, -0.424072265625, 0.697265625, 0.051513671875, 
2, 2884787549, 0.5448099374771118, -0.5227647423744202, 0.45341989398002625, -0.4736132025718689, 0.0002620220184326172, -0.08227390050888062, 0.003386974334716797, 0.031443897634744644, -9.873262405395508, 0.4064531624317169, 0.8376495242118835, 0.4262079894542694, 1.3802870512008667, -0.424560546875, 0.697265625, 0.051025390625, 
3, 2884795882, 0.5449826717376709, -0.5227624177932739, 0.4535118043422699, -0.47332918643951416, 0.0001690387725830078, -0.08227342367172241, 0.0034122467041015625, 0.018319517374038696, -9.873164176940918, 0.4105623960494995, 0.8277879953384399, 0.4409874677658081, 1.4950131177902222, -0.423583984375, 0.69921875, 0.053955078125, 
4, 2884804215, 0.5450489521026611, -0.522663950920105, 0.45355695486068726, -0.47331833839416504, 0.00015079975128173828, -0.08234947919845581, 0.003300189971923828, 0.01615683175623417, -9.882290840148926, 0.3971642553806305, 0.8524032831192017, 0.4884762465953827, 1.4507262706756592, -0.4228515625, 0.6982421875, 0.046875, 
5, 2884812548, 0.5452778339385986, -0.5229287147521973, 0.45328497886657715, -0.4730226993560791, 0.000240325927734375, -0.08218139410018921, 0.003264486789703369, 0.02694687619805336, -9.862117767333984, 0.3929712772369385, 0.8983808755874634, 0.5294078588485718, 1.3785966634750366, -0.422607421875, 0.69677734375, 0.0517578125, 
6, 2884820881, 0.5453395843505859, -0.5228306651115417, 0.45332878828048706, -0.47301793098449707, 0.0002995133399963379, -0.08233356475830078, 0.003473818302154541, 0.03401048853993416, -9.880378723144531, 0.41808125376701355, 0.8639552593231201, 0.5474658012390137, 1.3638170957565308, -0.42138671875, 0.69970703125, 0.05126953125, 
7, 2884829214, 0.5453208684921265, -0.5229998826980591, 0.45326852798461914, -0.472910076379776, 0.00022172927856445312, -0.08239412307739258, 0.0034537315368652344, 0.024658484384417534, -9.887643814086914, 0.4156818091869354, 0.9080117344856262, 0.35238781571388245, 1.440992832183838, -0.422607421875, 0.69580078125, 0.052490234375, 
8, 2884837547, 0.545387327671051, -0.5229049921035767, 0.4533097445964813, -0.47289881110191345, -0.000024259090423583984, -0.08225589990615845, 0.003479599952697754, -0.004907999653369188, -9.871050834655762, 0.4187620282173157, 0.8507384657859802, 0.4311259686946869, 1.4048510789871216, -0.4189453125, 0.6982421875, 0.05126953125, 
9, 2884845880, 0.5454093217849731, -0.5230288505554199, 0.45317962765693665, -0.4728613793849945, 0.00009620189666748047, -0.08224070072174072, 0.003337264060974121, 0.011544688604772091, -9.869277954101562, 0.4004876911640167, 0.850892186164856, 0.547440230846405, 1.3113335371017456, -0.423095703125, 0.69873046875, 0.05126953125, 
