Axis,Jerk_Women,Jerk_Men
acc_x,"[22458429.439075667, 3881324.5938355024, 2981233.9229239826, 15016524.929865569, 12782950.916410683, 1788105.821615027, 638377.041413371, 808664.4676663452, 29341370.01361429]","[5801052.197895302, 793672.4487803867, 555631.912511003, 16972284.16757686, 8061072.454867404, 878659.8836273957, 1324696.4993102127, 1626928.2986976302]"
acc_y,"[22458429.439075667, 3881324.5938355024, 2981233.9229239826, 15016524.929865569, 12782950.916410683, 1788105.821615027, 638377.041413371, 808664.4676663452, 29341370.01361429]","[5801052.197895302, 793672.4487803867, 555631.912511003, 16972284.16757686, 8061072.454867404, 878659.8836273957, 1324696.4993102127, 1626928.2986976302]"
acc_z,"[16744413.447556086, 2831167.6664788006, 9116930.66296447, 9383191.287292337, 16909212.604892876, 5284716.603433643, 143254.70212157397, 591423.6480337662, 37914815.9754598]","[5713121.568999025, 1101096.8563387368, 304428.2477622427, 11804891.640728481, 15887562.332650013, 1063953.7819240168, 1606621.861409961, 3489174.421483035]"
acc_vector,"[21868548.116692256, 3731042.9634763375, 5554813.885368622, 11991107.087482858, 11608454.242141534, 6414413.7954240795, 147208.20228884547, 727489.7315503999, 25047839.683699537]","[5153774.674193064, 770377.7014433185, 342573.89533838804, 13566070.709361216, 9992327.10454324, 829320.8022860817, 1867038.4977215137, 1983812.2952164891]"
