Axis,Jerk_Women,Jerk_Men
section_1_x,"[1493243.2987122277, 239209.41698062787, 165839.8856149664, 1013020.5353737709, 985591.0074645765, 115822.95703435579, 118528.99527049508, 60574.01502194621, 3507168.918867079]","[774507.5412769049, 134474.72090469016, 111655.21483421173, 1121315.7987052118, 692797.8366070305, 117757.37184420293, 114345.43565206205, 140583.02183435424]"
section_1_y,"[1493243.2987122277, 239209.41698062787, 165839.8856149664, 1013020.5353737709, 985591.0074645765, 115822.95703435579, 118528.99527049508, 60574.01502194621, 3507168.918867079]","[774507.5412769049, 134474.72090469016, 111655.21483421173, 1121315.7987052118, 692797.8366070305, 117757.37184420293, 114345.43565206205, 140583.02183435424]"
section_1_z,"[1428114.9300066659, 126390.2736309921, 470925.5092351175, 669378.6105470057, 1150686.5828326433, 293209.57252214913, 21873.37971421886, 43449.52189085255, 3202226.562076176]","[710973.9966018777, 161532.16731691713, 69943.44508958755, 792704.869289725, 1281398.4733212914, 171816.91103265074, 108026.41666807591, 302935.49737792055]"
section_1_vector,"[1628315.9227903807, 204746.2618834646, 357963.84010109364, 857240.2468117586, 888383.0923502607, 463693.2042915679, 24791.323302265788, 49280.134510540185, 2721350.9863818437]","[694000.2395846704, 120319.56267245741, 71563.96286959294, 889839.5996149513, 804883.942725719, 107242.87514850085, 149707.87111307896, 190191.0487687357]"
section_2_x,"[4181344.9911720827, 1144245.35928388, 423806.6189880243, 1151550.5992556897, 1660292.2912343156, 776946.5811092808, 120658.84305627964, 87281.57044316476, 5485282.268180908]","[483660.01035315293, 318533.1860970228, 72961.46994554623, 2033653.0646145642, 2321770.7190426798, 176956.702335412, 180156.03230448597, 106216.26213502492]"
section_2_y,"[4181344.9911720827, 1144245.35928388, 423806.6189880243, 1151550.5992556897, 1660292.2912343156, 776946.5811092808, 120658.84305627964, 87281.57044316476, 5485282.268180908]","[483660.01035315293, 318533.1860970228, 72961.46994554623, 2033653.0646145642, 2321770.7190426798, 176956.702335412, 180156.03230448597, 106216.26213502492]"
section_2_z,"[3184714.26875349, 779899.2622356311, 1172750.5951391195, 785869.698296139, 2490273.8922873135, 1838282.7650855079, 34405.21139826397, 80382.23921587228, 6404430.406792217]","[460169.57887949666, 435585.7506535053, 45127.19499756232, 1689697.2364375517, 4292626.819208872, 194568.21989187022, 214416.1957028306, 217690.45634790178]"
section_2_vector,"[4132725.343438599, 984289.5793301137, 844864.098404617, 898737.9532468668, 1499100.6487271495, 2898957.054179592, 33160.915087757174, 84565.98559277118, 4386447.163758998]","[452102.99827810563, 330420.08788838325, 52811.906586477155, 1889318.3528434616, 2980269.7702387017, 174096.1728937379, 243411.2466134643, 127636.62843991563]"
section_3_x,"[7103681.603957012, 822388.6954129036, 1145548.4179751638, 9734564.319350665, 4982072.65960366, 209636.81339288413, 76297.66644007257, 376908.22494742845, 5549924.374366728]","[2079129.5804206512, 43906.71631766293, 91455.79478618523, 8003340.992590438, 1318165.1312594241, 115419.94586456136, 417094.73392811255, 983663.2156326931]"
section_3_y,"[7103681.603957012, 822388.6954129036, 1145548.4179751638, 9734564.319350665, 4982072.65960366, 209636.81339288413, 76297.66644007257, 376908.22494742845, 5549924.374366728]","[2079129.5804206512, 43906.71631766293, 91455.79478618523, 8003340.992590438, 1318165.1312594241, 115419.94586456136, 417094.73392811255, 983663.2156326931]"
section_3_z,"[4308334.828327707, 837984.5239562824, 3739727.1029130565, 5400876.568494361, 6568597.048244904, 752748.7459595376, 13871.37192819513, 225593.06284311067, 9116396.22424216]","[2205097.3707481376, 72733.9142898357, 38586.42803573702, 4718524.0738486275, 2860601.5668885456, 141882.32237159525, 624934.8549741007, 2183506.7610584404]"
section_3_vector,"[6340932.308996306, 992239.3518146907, 1957341.9149942265, 7555849.2201134255, 4568545.195257641, 688474.6762478967, 14474.919451400914, 340548.8051246814, 5248577.204196703]","[1757911.5697637445, 42411.74737867051, 46076.79707231305, 5677924.827817917, 1655964.3463466777, 103524.91082146743, 664691.5876296343, 1118015.9425041166]"
