PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 905446808, 0.5119248032569885, -0.008349645882844925, -0.0006798175163567066, 0.8589893579483032, 0, 0, 0, 0, 0, 0, 
1, 905463475, 0.5120875835418701, -0.008386109955608845, -0.0005615887930616736, 0.8588922023773193, -0.13751031458377838, -0.11558093130588531, 10.328802108764648, 0.8269252777099609, 0.39259785413742065, 1.2507129907608032, 
2, 905480142, 0.5120200514793396, -0.008410480804741383, -0.0005046720616519451, 0.8589322566986084, -0.14691385626792908, -0.10664878785610199, 10.322391510009766, 0.8277320861816406, 0.37130093574523926, 1.2687572240829468, 
3, 905496809, 0.5124049186706543, -0.008445980958640575, -0.0004161863762419671, 0.8587024807929993, -0.14631684124469757, -0.09315042197704315, 10.323304176330566, 0.8622195720672607, 0.4524163603782654, 1.271997094154358, 
4, 905513476, 0.5122851729393005, -0.00846143253147602, -0.0002958923578262329, 0.8587737679481506, -0.16147932410240173, -0.1088036596775055, 10.33889102935791, 0.8548302054405212, 0.45324867963790894, 1.2949460744857788, 
5, 905530143, 0.5121548771858215, -0.008505149744451046, -0.00018148186791222543, 0.8588511347770691, -0.1665857881307602, -0.11069495975971222, 10.329745292663574, 0.8023625612258911, 0.43113213777542114, 1.2383930683135986, 
6, 905546810, 0.5120925903320312, -0.008560935966670513, -0.00006230000144569203, 0.8588876128196716, -0.145925372838974, -0.11736438423395157, 10.341691017150879, 0.8515133261680603, 0.40403398871421814, 1.2343465089797974, 
7, 905563477, 0.5117582082748413, -0.008603428490459919, 0.000026674675609683618, 0.8590865731239319, -0.1316387802362442, -0.10650379955768585, 10.346284866333008, 0.794960618019104, 0.3876674175262451, 1.1859641075134277, 
8, 905580144, 0.5116193294525146, -0.008625563234090805, 0.0001191882838611491, 0.859169065952301, -0.13925701379776, -0.10974980890750885, 10.317907333374023, 0.8368374109268188, 0.4639163911342621, 1.2727911472320557, 
9, 905596811, 0.5116907954216003, -0.008640207350254059, 0.00020255090203136206, 0.8591261506080627, -0.1498861461877823, -0.11260095238685608, 10.343550682067871, 0.8171411156654358, 0.45168638229370117, 1.2842785120010376, 
10, 905613478, 0.5116342306137085, -0.008653732016682625, 0.00029779429314658046, 0.8591598868370056, -0.1385822296142578, -0.11734896153211594, 10.333528518676758, 0.8689044713973999, 0.4875185191631317, 1.1990138292312622, 
11, 905630145, 0.5116192698478699, -0.00865177996456623, 0.0003785541921388358, 0.8591687679290771, -0.14806820452213287, -0.1018950492143631, 10.325249671936035, 0.8588131070137024, 0.3884486258029938, 1.2540810108184814, 
12, 905646812, 0.5112994909286499, -0.00865738745778799, 0.00046435679541900754, 0.8593589067459106, -0.15408557653427124, -0.11754019558429718, 10.321650505065918, 0.8475562930107117, 0.46216192841529846, 1.2088617086410522, 
13, 905663479, 0.511104166507721, -0.008660591207444668, 0.0005521072307601571, 0.8594750165939331, -0.16091445088386536, -0.1094106063246727, 10.33261489868164, 0.8720291256904602, 0.43432092666625977, 1.250751256942749, 
14, 905680146, 0.510769784450531, -0.008665572851896286, 0.0006511103129014373, 0.8596736192703247, -0.14764592051506042, -0.1141522005200386, 10.319859504699707, 0.9139059782028198, 0.4562966227531433, 1.2343335151672363, 
15, 905696813, 0.5106565356254578, -0.00867221038788557, 0.0007364486809819937, 0.8597408533096313, -0.15554022789001465, -0.11399424076080322, 10.321698188781738, 0.8253756165504456, 0.424472838640213, 1.169559121131897, 
