sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2024-03-25_18:11:24_874 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
57,887480233,-0.007935,1.135903,120.845116,0.058498,0.084505,0.516966,0.843279,0.508905,1.233616
58,887496900,0.002533,1.141346,120.847740,0.059492,0.093632,0.535616,0.855458,0.452941,1.259408
59,887513567,0.013362,1.145906,120.853615,0.058154,0.095153,0.523289,0.865139,0.393955,1.247678
60,887530234,0.022534,1.150997,120.861374,0.072904,0.100647,0.515220,0.773740,0.430607,1.275416
61,887546901,0.032881,1.155839,120.868858,0.071381,0.108280,0.511197,0.852448,0.418544,1.233079
62,887563568,0.042947,1.160620,120.868790,0.061654,0.113729,0.529295,0.840487,0.417224,1.213818
63,887580235,0.052248,1.165874,120.876411,0.057250,0.104069,0.526661,0.781424,0.441070,1.280629
64,887596902,0.061704,1.171088,120.882805,0.075869,0.112110,0.517126,0.794051,0.440724,1.213690
65,887613569,0.071568,1.177336,120.882301,0.060742,0.123119,0.532108,0.826362,0.506933,1.240788
66,887630236,0.081954,1.182716,120.886864,0.080329,0.099428,0.538303,0.847864,0.451814,1.256015
67,887646903,0.091598,1.187394,120.894852,0.076236,0.118053,0.530640,0.801172,0.406800,1.234551
68,887663570,0.102583,1.192691,120.898788,0.070810,0.126635,0.517383,0.888293,0.447742,1.251968
69,887680237,0.112380,1.198792,120.895454,0.071173,0.121278,0.533089,0.828526,0.502604,1.216661
70,887696904,0.122374,1.204746,120.900429,0.082403,0.129924,0.517097,0.830972,0.489119,1.187795
71,887713571,0.132372,1.210860,120.903145,0.091944,0.115355,0.521651,0.843817,0.506037,1.230633
72,887730238,0.141562,1.217450,120.910782,0.072552,0.132271,0.517967,0.794858,0.532200,1.194864
73,887746905,0.152223,1.222878,120.913544,0.074971,0.129268,0.519650,0.884554,0.466132,1.302118
74,887763572,0.162883,1.226978,120.917068,0.081850,0.113779,0.515876,0.885450,0.386899,1.249740
75,887780239,0.173571,1.230988,120.925659,0.082450,0.136986,0.551290,0.889638,0.382699,1.309930
76,887796906,0.184232,1.235516,120.929344,0.076755,0.128808,0.503960,0.864742,0.402881,1.299505
77,887813573,0.194219,1.240827,120.931435,0.084633,0.122460,0.507483,0.861067,0.467976,1.248075
78,887830240,0.205026,1.245818,120.944580,0.086579,0.136699,0.533018,0.908105,0.447268,1.258845
79,887846907,0.215939,1.251157,120.949425,0.093963,0.132467,0.519237,0.898308,0.459498,1.184209
80,887863574,0.225761,1.255985,120.954117,0.087254,0.124699,0.501793,0.843906,0.434667,1.228712
81,887880241,0.234915,1.262488,120.963142,0.091246,0.119999,0.508752,0.820112,0.541587,1.159929
82,887896908,0.244431,1.267286,120.963661,0.079225,0.137625,0.505597,0.832944,0.437177,1.335760
83,887913575,0.254301,1.272873,120.963646,0.098366,0.142914,0.512958,0.859095,0.486481,1.251430
84,887930242,0.262666,1.278068,120.966446,0.089701,0.136212,0.523849,0.765071,0.460497,1.243900
85,887946909,0.273014,1.283782,120.978867,0.094205,0.143295,0.536726,0.874590,0.488505,1.361859
86,887963576,0.282944,1.288352,120.985138,0.091494,0.142090,0.514524,0.844432,0.415867,1.238265
87,887980243,0.292354,1.294017,120.989983,0.082721,0.154792,0.492095,0.831753,0.490899,1.234462
88,887996910,0.300277,1.298360,121.000587,0.081165,0.143262,0.506565,0.760640,0.422667,1.295151
89,888013577,0.309644,1.303373,121.007538,0.090056,0.158245,0.529495,0.836863,0.457577,1.245808
90,888030244,0.319175,1.308919,121.007950,0.093976,0.154691,0.527764,0.830831,0.482370,1.219094
91,888046911,0.329032,1.314261,121.017921,0.099932,0.164287,0.528296,0.853268,0.471754,1.250854
92,888063578,0.338892,1.318354,121.018837,0.096859,0.155652,0.529979,0.854126,0.399193,1.290528
93,888080245,0.348117,1.323028,121.023781,0.103510,0.170081,0.526983,0.818729,0.433719,1.223205
94,888096912,0.358302,1.327419,121.023758,0.106868,0.163302,0.512882,0.880251,0.420413,1.245795
95,888113579,0.367597,1.331622,121.026230,0.097280,0.167273,0.506362,0.840794,0.415829,1.241416
96,888130246,0.377400,1.336357,121.029877,0.102563,0.161970,0.515096,0.877971,0.452301,1.271728
97,888146913,0.387455,1.340456,121.032249,0.096557,0.171558,0.520499,0.889100,0.411205,1.219043
98,888163580,0.397710,1.346244,121.032295,0.105757,0.174793,0.511196,0.897181,0.512568,1.276005
99,888180247,0.406837,1.350510,121.031189,0.102134,0.186856,0.503875,0.840090,0.426714,1.251712
100,888196914,0.415420,1.353441,121.036842,0.107133,0.167586,0.499630,0.814695,0.352143,1.313182
101,888213581,0.424533,1.358561,121.038231,0.114541,0.178183,0.521535,0.854933,0.486084,1.203227
102,888230248,0.434265,1.362692,121.039352,0.094270,0.184627,0.514747,0.876050,0.418287,1.203227
103,888246915,0.443686,1.368378,121.043587,0.117937,0.182543,0.527443,0.863872,0.516794,1.265914
104,888263582,0.453380,1.373023,121.045776,0.121251,0.178647,0.504269,0.872887,0.450687,1.241390
105,888280249,0.462544,1.377882,121.048195,0.109414,0.181436,0.520047,0.863718,0.474879,1.247102
106,888296916,0.471978,1.382315,121.051773,0.117091,0.179797,0.498707,0.867265,0.444515,1.305832
107,888313583,0.481267,1.386288,121.055717,0.116017,0.190424,0.494059,0.881480,0.426880,1.258448
108,888330250,0.489527,1.389948,121.060898,0.114039,0.177062,0.509160,0.825926,0.412192,1.282818
109,888346917,0.497922,1.394069,121.060013,0.096984,0.172386,0.503251,0.824697,0.434090,1.179189
110,888363584,0.507273,1.398500,121.068123,0.106341,0.184636,0.520231,0.889062,0.455810,1.214458
111,888380251,0.516316,1.401538,121.074394,0.102305,0.186550,0.508225,0.856508,0.366511,1.252301
112,888396918,0.525229,1.406000,121.069382,0.115961,0.197980,0.524390,0.859838,0.461406,1.280565
113,888413585,0.534373,1.409636,121.072838,0.111693,0.174173,0.529197,0.863526,0.404956,1.246231
114,888430252,0.543816,1.414747,121.075241,0.116118,0.184506,0.520798,0.879482,0.493717,1.254670
115,888446919,0.552769,1.419390,121.078751,0.128108,0.186498,0.511805,0.859940,0.470473,1.260740
116,888463586,0.560739,1.424222,121.077766,0.128688,0.198789,0.513697,0.810969,0.487506,1.303334
117,888480253,0.568910,1.429424,121.079857,0.127661,0.197010,0.502087,0.828078,0.508278,1.169662
118,888496920,0.577327,1.433495,121.081551,0.120086,0.210075,0.536484,0.855074,0.448741,1.236575
119,888513587,0.586965,1.436866,121.085182,0.121082,0.198225,0.520309,0.900152,0.392726,1.252122
120,888530254,-0.598088,0.823652,120.081215,0.002391,-0.007053,0.509775,0.827015,0.498494,1.218428
121,888546921,-0.597972,0.822380,120.080345,0.002052,0.012566,0.501269,0.856201,0.373235,1.299659
122,888563588,-0.597832,0.821431,120.096092,-0.003082,0.002179,0.522223,0.859658,0.394135,1.220554
123,888580255,-0.599303,0.821710,120.101051,0.005846,-0.004914,0.503459,0.761165,0.466798,1.259524
124,888596922,-0.600506,0.821481,120.109451,-0.006734,-0.001628,0.516659,0.778223,0.436690,1.216174
125,888613589,-0.601601,0.821281,120.115082,-0.007396,-0.002281,0.511798,0.783857,0.438099,1.226855
126,888630256,-0.601118,0.820933,120.124969,0.000219,-0.000956,0.523871,0.877690,0.428827,1.269218
127,888646923,-0.600763,0.821510,120.132401,-0.008689,-0.007243,0.510742,0.870633,0.484880,1.197323
128,888663590,-0.599475,0.821845,120.140419,0.004580,0.003064,0.513906,0.925291,0.469462,1.275672
129,888680257,-0.599730,0.822272,120.146187,-0.006253,0.016302,0.509044,0.832957,0.475122,1.251123
130,888696924,-0.599369,0.822370,120.154106,0.003196,0.012275,0.505584,0.869583,0.455439,1.279322
131,888713591,-0.599679,0.821682,120.157234,-0.002048,0.000053,0.502849,0.829538,0.408567,1.266554
132,888730258,-0.599470,0.822269,120.161583,0.000231,-0.005901,0.518327,0.861233,0.485610,1.220016
133,888746925,-0.599177,0.821737,120.167534,-0.001511,-0.004862,0.522093,0.865741,0.417942,1.227687
134,888763592,-0.598984,0.820868,120.168808,-0.002868,0.009342,0.523298,0.860363,0.398194,1.163553
135,888780259,-0.598441,0.820968,120.173325,0.004877,-0.003425,0.516220,0.878945,0.454722,1.326309
136,888796926,-0.599181,0.821966,120.173439,-0.002326,0.003719,0.505661,0.803349,0.509520,1.229672
137,888813593,-0.600203,0.821753,120.177574,-0.002081,-0.002006,0.518011,0.785919,0.436549,1.274072
138,888830260,-0.600533,0.821992,120.180748,-0.000325,-0.004735,0.532070,0.827514,0.463750,1.240186
139,888846927,-0.598980,0.821257,120.180687,-0.006973,0.007025,0.516998,0.941107,0.405763,1.174451
140,888863594,-0.599154,0.820220,120.186111,-0.006478,-0.001952,0.516262,0.836568,0.387155,1.243336
141,888880261,-0.599514,0.819497,120.194405,-0.007071,0.006066,0.509686,0.824710,0.405660,1.278682
142,888896928,-0.598908,0.819004,120.194885,0.013391,0.002692,0.504863,0.883773,0.420452,1.193776
143,888913595,-0.600077,0.819178,120.198883,0.010133,-0.012305,0.523514,0.776942,0.459972,1.230005
144,888930262,-0.599513,0.819275,120.201561,-0.001230,-0.006973,0.512852,0.880328,0.454593,1.254824
145,888946929,-0.599100,0.818709,120.204376,0.008299,-0.004787,0.507855,0.871466,0.414868,1.238009
146,888963596,-0.598559,0.817072,120.209244,-0.001782,-0.012821,0.516159,0.877997,0.349492,1.325809
147,888980263,-0.598727,0.816613,120.209717,0.004302,-0.023365,0.525612,0.837068,0.421438,1.182160
148,888996930,-0.598390,0.816506,120.212669,0.001363,-0.012078,0.534054,0.866433,0.441518,1.232028
149,889013597,-0.600015,0.816109,120.221481,-0.009396,0.001180,0.525660,0.747398,0.423039,1.311620
150,889030264,-0.598816,0.816364,120.224960,0.000525,-0.010797,0.531009,0.917863,0.463122,1.227841
151,889046931,-0.598879,0.816864,120.227737,0.006382,0.001826,0.508214,0.841460,0.477261,1.259690
152,889063598,-0.599596,0.817064,120.229019,0.013100,-0.014345,0.500305,0.802977,0.459678,1.219978
153,889080265,-0.599575,0.817250,120.231522,0.002090,-0.011495,0.523671,0.847082,0.458294,1.242530
154,889096932,-0.600569,0.817399,120.234222,-0.004089,-0.001779,0.517452,0.785420,0.455439,1.272241
155,889113599,-0.599982,0.817486,120.235634,0.006662,-0.006312,0.539019,0.879892,0.451546,1.293102
156,889130266,-0.599803,0.817365,120.240265,0.017023,-0.002354,0.527073,0.855586,0.439136,1.268155
157,889146933,-0.600141,0.816301,120.242844,0.001416,-0.002765,0.518654,0.825619,0.383006,1.217442
158,889163600,-0.600844,0.816344,120.245468,-0.000323,-0.014907,0.515819,0.802913,0.448715,1.271165
159,889180267,-0.600425,0.816146,120.248039,0.000661,0.001960,0.511366,0.869993,0.434116,1.273649
160,889196934,-0.601650,0.815712,120.248512,0.003628,-0.011227,0.510102,0.772191,0.420490,1.215073
161,889213601,-0.601679,0.816675,120.252708,0.003811,-0.003707,0.527702,0.843381,0.503808,1.254401
162,889230268,-0.602896,0.817335,120.257790,0.016215,-0.009409,0.499794,0.771858,0.485470,1.258474
163,889246935,-0.604002,0.817106,120.262787,0.002872,-0.000459,0.552923,0.779170,0.432131,1.236472
164,889263602,-0.604523,0.816921,120.263802,0.000438,-0.007661,0.530691,0.813440,0.434487,1.265581
165,889280269,-0.606165,0.816911,120.265892,0.002363,-0.001329,0.517934,0.746655,0.445181,1.232246
166,889296936,-0.605889,0.817694,120.269165,-0.002561,-0.015655,0.536469,0.861861,0.492782,1.233693
167,889313603,-0.605200,0.817446,120.273155,-0.001552,-0.005863,0.524645,0.885694,0.430287,1.274558
168,889330270,-0.603649,0.816861,120.275970,0.006718,-0.012174,0.500285,0.938238,0.410680,1.214228
169,889346937,-0.604285,0.815904,120.279785,-0.009601,0.002212,0.531002,0.807037,0.387962,1.223666
170,889363604,-0.604862,0.815436,120.284073,-0.000181,-0.011206,0.538201,0.809611,0.417109,1.267848
171,889380271,-0.605240,0.814633,120.288605,0.010204,-0.006010,0.517552,0.822212,0.397413,1.213472
172,889396938,-0.606588,0.814795,120.290482,0.010109,-0.013804,0.515335,0.764213,0.455298,1.203009
173,889413605,-0.605975,0.813969,120.290520,0.003361,-0.004795,0.513089,0.882121,0.395927,1.185529
174,889430272,-0.606910,0.813229,120.289772,0.000751,-0.005544,0.524367,0.788814,0.400756,1.218338
175,889446939,-0.607672,0.812601,120.290039,0.011747,-0.010122,0.537578,0.798879,0.407300,1.226061
176,889463606,-0.607985,0.813008,120.291077,-0.010909,-0.011685,0.519274,0.825721,0.469257,1.236178
177,889480273,-0.607546,0.813361,120.293663,0.001173,-0.002438,0.510910,0.870377,0.465658,1.256181
178,889496940,-0.607311,0.812867,120.295380,-0.011315,0.013795,0.509000,0.858147,0.414753,1.261022
179,889513607,-0.607508,0.812192,120.297089,-0.004082,0.001514,0.525686,0.831497,0.403765,1.303257
180,889530274,-0.607585,0.812298,120.300613,-0.001469,-0.007826,0.491074,0.839078,0.451084,1.270563
181,889546941,-0.607793,0.811978,120.300545,0.005562,-0.000759,0.522326,0.831625,0.425549,1.240775
182,889563608,-0.608262,0.811818,120.299263,0.013895,-0.006790,0.535164,0.815771,0.435230,1.250265
183,889580275,-0.607825,0.811060,120.303139,-0.003772,-0.014730,0.512801,0.869698,0.398873,1.288581
184,889596942,-0.608638,0.810606,120.305588,-0.006081,-0.006814,0.522328,0.794820,0.417096,1.269077
185,889613609,-0.609284,0.809416,120.306000,0.000916,0.006015,0.516183,0.804975,0.373145,1.247473
186,889630276,-0.609789,0.810083,120.310791,-0.011376,0.008966,0.534138,0.814337,0.485239,1.197387
187,889646943,-0.611827,0.810790,120.311188,-0.004530,-0.002864,0.510354,0.721849,0.487634,1.217122
188,889663610,-0.610435,0.811586,120.313469,-0.008824,-0.008412,0.519713,0.927084,0.492564,1.254977
189,889680277,-0.611248,0.812009,120.315521,0.001934,-0.009452,0.511824,0.795255,0.470601,1.211039
190,889696944,-0.611754,0.812436,120.317703,0.008397,-0.000576,0.544113,0.813415,0.470614,1.229250
191,889713611,-0.611699,0.812339,120.315247,-0.006313,-0.003873,0.506661,0.846481,0.438816,1.263340
192,889730278,-0.612067,0.812144,120.319832,-0.013526,-0.008354,0.509052,0.819638,0.431772,1.368916
193,889746945,-0.611871,0.811865,120.322311,0.008653,-0.001340,0.516953,0.854984,0.427956,1.252070
194,889763612,-0.611515,0.811265,120.326088,-0.006374,-0.010855,0.512659,0.864601,0.408695,1.255041
195,889780279,-0.612856,0.810735,120.327606,-0.007481,0.005803,0.513570,0.763534,0.413434,1.191586
196,889796946,-0.612380,0.809756,120.330200,0.000901,-0.012855,0.521831,0.870710,0.385388,1.317934
197,889813613,-0.613038,0.809841,120.330078,-0.012116,-0.009689,0.530291,0.803624,0.449861,1.242421
198,889830280,-0.612867,0.809455,120.333290,-0.003988,0.002400,0.526603,0.852461,0.421130,1.297904
199,889846947,-0.613613,0.808854,120.333015,-0.002708,-0.014829,0.529433,0.799187,0.409579,1.173234
200,889863614,-0.613156,0.808116,120.334465,-0.005651,-0.004339,0.521667,0.870287,0.400512,1.240622
201,889880281,-0.613270,0.807327,120.334290,-0.006028,-0.002448,0.491940,0.835979,0.397464,1.237407
202,889896948,-0.613460,0.807013,120.336472,-0.000496,-0.012833,0.505765,0.832803,0.426983,1.140092
203,889913615,-0.614323,0.807761,120.339043,0.003417,0.000723,0.514238,0.790594,0.489363,1.264736
204,889930282,-0.614843,0.808579,120.340752,0.007047,-0.002204,0.543997,0.811237,0.493537,1.264825
205,889946949,-0.614848,0.808268,120.342896,0.000446,-0.004049,0.526977,0.841601,0.425549,1.296188
